Index,Lieferant,LiefArtNr,LiefFarbe,EigeneFarbBez,Wgrp,Groesse,Mwst,Preis,Lagerbestand,Saison,
2011111111859,Sonia by Sonia Rykiel,13E88440410-14,543,grün,40,Da Kleid lang,19,330.00,0,131,
2011111153804,Sonia by Sonia Rykiel,89170455-FH,505,schwarz,L,Da Kleid lang,19,429.00,0,134,
2011111153798,Sonia by Sonia Rykiel,89170455-FH,505,schwarz,M,Da Kleid lang,19,429.00,0,134,
2011111153781,Sonia by Sonia Rykiel,89170455-FH,505,schwarz,S,Da Kleid lang,19,429.00,0,134,
2011111136029,Sonia by Sonia Rykiel, 89171474 - CA,468 Grey Noir Night,grau,L,Da Kleid kurz,19,359.00,0,133,
2011111136012,Sonia by Sonia Rykiel, 89171474 - CA,468 Grey Noir Night,grau,M,Da Kleid kurz,19,359.00,0,133,
2011111136005,Sonia by Sonia Rykiel, 89171474 - CA,468 Grey Noir Night,grau,S,Da Kleid kurz,19,359.00,0,133,
2011111136036,Sonia by Sonia Rykiel, 89171474 - CA,468 Grey Noir Night,grau,XL,Da Kleid kurz,19,359.00,0,133,
2011111134728,Sonia by Sonia Rykiel,13 E 88439054-60,155 Lily/Noir,Mehrfarbig,34,Da Kleid kurz,19,250.00,1,132,
2011111134735,Sonia by Sonia Rykiel,13 E 88439054-60,155 Lily/Noir,Mehrfarbig,36,Da Kleid kurz,19,250.00,0,132,
2011111134742,Sonia by Sonia Rykiel,13 E 88439054-60,155 Lily/Noir,Mehrfarbig,38,Da Kleid kurz,19,250.00,0,132,
2011111134759,Sonia by Sonia Rykiel,13 E 88439054-60,155 Lily/Noir,Mehrfarbig,40,Da Kleid kurz,19,250.00,0,132,
2011111134766,Sonia by Sonia Rykiel,13 E 88439054-60,155 Lily/Noir,Mehrfarbig,42,Da Kleid kurz,19,250.00,0,132,
2011111128642,Sonia by Sonia Rykiel,13 E 88439054-60,165,Mehrfarbig,34,Da Kleid kurz,19,250.00,0,132,
2011111128659,Sonia by Sonia Rykiel,13 E 88439054-60,165,Mehrfarbig,36,Da Kleid kurz,19,250.00,0,132,
2011111128666,Sonia by Sonia Rykiel,13 E 88439054-60,165,Mehrfarbig,38,Da Kleid kurz,19,250.00,0,132,
2011111128369,Sonia by Sonia Rykiel,13E 8817145-GA,587,Mango,L,Da Kleid kurz,19,359.00,0,132,
2011111128352,Sonia by Sonia Rykiel,13E 8817145-GA,587,Mango,M,Da Kleid kurz,19,359.00,0,132,
2011111128345,Sonia by Sonia Rykiel,13E 8817145-GA,587,Mango,S,Da Kleid kurz,19,359.00,0,132,
2011111128420,Sonia by Sonia Rykiel,13E 88249438-KA,588,Mehrfarbig,L,Da Kleid kurz,19,385.00,0,132,
2011111128413,Sonia by Sonia Rykiel,13E 88249438-KA,588,Mehrfarbig,M,Da Kleid kurz,19,385.00,0,132,
2011111128406,Sonia by Sonia Rykiel,13E 88249438-KA,588,Mehrfarbig,S,Da Kleid kurz,19,385.00,0,132,
2011111134711,Sonia by Sonia Rykiel,13E 88299462-56,592Rose/Heart,Mehrfarbig,L,Da Kleid kurz,19,139.00,0,132,
2011111134704,Sonia by Sonia Rykiel,13E 88299462-56,592Rose/Heart,Mehrfarbig,M,Da Kleid kurz,19,139.00,0,132,
2011111134698,Sonia by Sonia Rykiel,13E 88299462-56,592Rose/Heart,Mehrfarbig,S,Da Kleid kurz,19,139.00,0,132,
2011111134681,Sonia by Sonia Rykiel,13E 88299462-56,592Rose/Heart,Mehrfarbig,XS,Da Kleid kurz,19,139.00,0,132,
2011111128673,Sonia by Sonia Rykiel,13E 88439409-60,155,Mehrfarbig,34,Da Kleid kurz,19,345.00,0,132,
2011111128680,Sonia by Sonia Rykiel,13E 88439409-60,155,Mehrfarbig,36,Da Kleid kurz,19,345.00,0,132,
2011111128697,Sonia by Sonia Rykiel,13E 88439409-60,155,Mehrfarbig,38,Da Kleid kurz,19,345.00,0,132,
2011111134841,Sonia by Sonia Rykiel,13E 88439409-60,165 LILY / MANGUE,,34,Da Kleid kurz,19,345.00,0,132,
2011111134858,Sonia by Sonia Rykiel,13E 88439409-60,165 LILY / MANGUE,,36,Da Kleid kurz,19,345.00,0,132,
2011111134865,Sonia by Sonia Rykiel,13E 88439409-60,165 LILY / MANGUE,,38,Da Kleid kurz,19,345.00,0,132,
2011111134872,Sonia by Sonia Rykiel,13E 88439409-60,165 LILY / MANGUE,,40,Da Kleid kurz,19,345.00,0,132,
2011111134889,Sonia by Sonia Rykiel,13E 88439409-60,165 LILY / MANGUE,,42,Da Kleid kurz,19,345.00,0,132,
2011111128734,Sonia by Sonia Rykiel,13E 88444413-73,591,rosa,34,Da Kleid kurz,19,410.00,0,132,
2011111128741,Sonia by Sonia Rykiel,13E 88444413-73,591,rosa,36,Da Kleid kurz,19,410.00,0,132,
2011111128758,Sonia by Sonia Rykiel,13E 88444413-73,591,rosa,38,Da Kleid kurz,19,410.00,0,132,
2011111128802,Sonia by Sonia Rykiel,13E 88530488-53,724,rosa,L,Da Kleid kurz,19,195.00,0,132,
2011111128796,Sonia by Sonia Rykiel,13E 88530488-53,724,rosa,M,Da Kleid kurz,19,195.00,0,132,
2011111128789,Sonia by Sonia Rykiel,13E 88530488-53,724,rosa,S,Da Kleid kurz,19,195.00,0,132,
2011111111507,Sonia by Sonia Rykiel,13E88126401-6,001,schwarz,36,Da Kleid kurz,19,390.00,0,131,
2011111111514,Sonia by Sonia Rykiel,13E88126401-6,001,schwarz,38,Da Kleid kurz,19,390.00,0,131,
2011111111521,Sonia by Sonia Rykiel,13E88126401-6,001,schwarz,40,Da Kleid kurz,19,390.00,0,131,
2011111111644,Sonia by Sonia Rykiel,13E88431400-9,432,gemustert,36,Da Kleid kurz,19,290.00,0,131,
2011111111651,Sonia by Sonia Rykiel,13E88431400-9,432,gemustert,38,Da Kleid kurz,19,290.00,0,131,
2011111111668,Sonia by Sonia Rykiel,13E88431400-9,432,gemustert,40,Da Kleid kurz,19,290.00,0,131,
2011111111804,Sonia by Sonia Rykiel,13E88440405-13,155,Mehrfarbig,38,Da Kleid kurz,19,390.00,0,131,
2011111111811,Sonia by Sonia Rykiel,13E88440405-13,155,Mehrfarbig,40,Da Kleid kurz,19,390.00,0,131,
2011111111828,Sonia by Sonia Rykiel,13E88440405-13,155,Mehrfarbig,42,Da Kleid kurz,19,390.00,0,131,
2011111111866,Sonia by Sonia Rykiel,13E88440411-12,582,gemustert,36,Da Kleid kurz,19,295.00,0,131,
2011111111873,Sonia by Sonia Rykiel,13E88440411-12,582,gemustert,38,Da Kleid kurz,19,295.00,0,131,
2011111111880,Sonia by Sonia Rykiel,13E88440411-12,582,gemustert,40,Da Kleid kurz,19,295.00,0,131,
2011111178111,Sonia by Sonia Rykiel,81129457-14E,361 SAILOR,gemustert,38,Da Kleid kurz,19,349.00,0,142,
2011111178128,Sonia by Sonia Rykiel,81129457-14E,361 SAILOR,gemustert,40,Da Kleid kurz,19,349.00,0,142,
2011111178135,Sonia by Sonia Rykiel,81129457-14E,361 SAILOR,gemustert,42,Da Kleid kurz,19,349.00,0,142,
2011111161533,Sonia by Sonia Rykiel,81170465-CI,BLACK - 001,schwarz,L,Da Kleid kurz,19,399.00,1,141,
2011111161526,Sonia by Sonia Rykiel,81170465-CI,BLACK - 001,schwarz,M,Da Kleid kurz,19,399.00,1,141,
2011111161519,Sonia by Sonia Rykiel,81170465-CI,BLACK - 001,schwarz,S,Da Kleid kurz,19,399.00,0,141,
2011111178326,Sonia by Sonia Rykiel,81278440-4A,460 ROYAL,blau,L,Da Kleid kurz,19,159.00,0,142,
2011111178319,Sonia by Sonia Rykiel,81278440-4A,460 ROYAL,blau,M,Da Kleid kurz,19,159.00,0,142,
2011111178302,Sonia by Sonia Rykiel,81278440-4A,460 ROYAL,blau,S,Da Kleid kurz,19,159.00,0,142,
2011111178296,Sonia by Sonia Rykiel,81278440-4A,460 ROYAL,blau,XS,Da Kleid kurz,19,159.00,0,142,
2011111182217,Sonia by Sonia Rykiel,81325408-11,BLACK,schwarz,38,Da Kleid kurz,19,379.00,1,142,
2011111182224,Sonia by Sonia Rykiel,81325408-11,BLACK,schwarz,40,Da Kleid kurz,19,379.00,1,142,
2011111182231,Sonia by Sonia Rykiel,81325408-11,BLACK,schwarz,42,Da Kleid kurz,19,379.00,0,142,
2011111182248,Sonia by Sonia Rykiel,81330405-2,BLACK-OXFORD,Mehrfarbig,36,Da Kleid kurz,19,239.00,0,142,
2011111182255,Sonia by Sonia Rykiel,81330405-2,BLACK-OXFORD,Mehrfarbig,38,Da Kleid kurz,19,239.00,0,142,
2011111182262,Sonia by Sonia Rykiel,81330405-2,BLACK-OXFORD,Mehrfarbig,40,Da Kleid kurz,19,239.00,0,142,
2011111182279,Sonia by Sonia Rykiel,81330405-2,BLACK-OXFORD,Mehrfarbig,42,Da Kleid kurz,19,239.00,0,142,
